tahun,wilayah_id,wilayah,sektor_kode,sektor,pdrb_wil,share_wil,share_nas,lq
2023,6310,Tanah Bumbu,Q,Jasa Kesehatan dan Kegiatan Sosial,176.36,0.009942,0.014361,0.6922
2023,6310,Tanah Bumbu,RSTU,Jasa Lainnya,132.58,0.007474,0.020648,0.3619
2024,6310,Tanah Bumbu,A,"Pertanian, Kehutanan, dan Perikanan",2806.1,0.150912,0.118436,1.2742
2024,6310,Tanah Bumbu,B,Pertambangan dan Penggalian,7493.39,0.402994,0.077256,5.2163
2024,6310,Tanah Bumbu,C,Industri Pengolahan,1693.53,0.091078,0.211799,0.43
2024,6310,Tanah Bumbu,D,Pengadaan Listrik dan Gas,9.09,0.000489,0.010885,0.0449
2024,6310,Tanah Bumbu,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",19.51,0.001049,0.000882,1.1892
2024,6310,Tanah Bumbu,F,Konstruksi,1038.19,0.055834,0.102128,0.5467
2024,6310,Tanah Bumbu,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1215.79,0.065385,0.13608,0.4805
2024,6310,Tanah Bumbu,H,Transportasi dan Pergudangan,1191.47,0.064077,0.048771,1.3138
2024,6310,Tanah Bumbu,I,Penyediaan Akomodasi dan Makan Minum,173.8,0.009347,0.033565,0.2785
2024,6310,Tanah Bumbu,J,Informasi dan Komunikasi,746.65,0.040155,0.070235,0.5717
2024,6310,Tanah Bumbu,K,Jasa Keuangan dan Asuransi,274.51,0.014763,0.042033,0.3512
2024,6310,Tanah Bumbu,L,Real Estat,398.28,0.021419,0.028505,0.7514
2024,6310,Tanah Bumbu,MN,Jasa Perusahaan,47.96,0.002579,0.020342,0.1268
2024,6310,Tanah Bumbu,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",487.3,0.026207,0.032628,0.8032
2024,6310,Tanah Bumbu,P,Jasa Pendidikan,672.33,0.036158,0.030111,1.2008
2024,6310,Tanah Bumbu,Q,Jasa Kesehatan dan Kegiatan Sosial,185.32,0.009967,0.014773,0.6746
2024,6310,Tanah Bumbu,RSTU,Jasa Lainnya,141.06,0.007586,0.021568,0.3517
2025,6310,Tanah Bumbu,A,"Pertanian, Kehutanan, dan Perikanan",2993.44,0.152566,0.11862,1.2862
2025,6310,Tanah Bumbu,B,Pertambangan dan Penggalian,7423.48,0.378351,0.072978,5.1845
2025,6310,Tanah Bumbu,C,Industri Pengolahan,1934.71,0.098606,0.21207,0.465
2025,6310,Tanah Bumbu,D,Pengadaan Listrik dan Gas,9.82,0.0005,0.010672,0.0469
2025,6310,Tanah Bumbu,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",20.45,0.001042,0.000847,1.2306
2025,6310,Tanah Bumbu,F,Konstruksi,1187.33,0.060514,0.100819,0.6002
2025,6310,Tanah Bumbu,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1327.87,0.067677,0.136507,0.4958
2025,6310,Tanah Bumbu,H,Transportasi dan Pergudangan,1332.91,0.067934,0.050449,1.3466
2025,6310,Tanah Bumbu,I,Penyediaan Akomodasi dan Makan Minum,193.01,0.009837,0.034282,0.287
2025,6310,Tanah Bumbu,J,Informasi dan Komunikasi,798.69,0.040707,0.072363,0.5625
2025,6310,Tanah Bumbu,K,Jasa Keuangan dan Asuransi,294.05,0.014987,0.041551,0.3607
2025,6310,Tanah Bumbu,L,Real Estat,461.5,0.023521,0.028076,0.8378
2025,6310,Tanah Bumbu,MN,Jasa Perusahaan,51.98,0.002649,0.021103,0.1255
2025,6310,Tanah Bumbu,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",525.95,0.026806,0.032224,0.8319
2025,6310,Tanah Bumbu,P,Jasa Pendidikan,712.81,0.03633,0.030062,1.2085
2025,6310,Tanah Bumbu,Q,Jasa Kesehatan dan Kegiatan Sosial,197.99,0.010091,0.014834,0.6803
2025,6310,Tanah Bumbu,RSTU,Jasa Lainnya,154.62,0.00788,0.022545,0.3495
2020,6311,Balangan,A,"Pertanian, Kehutanan, dan Perikanan",991.9,0.108075,0.133415,0.8101
2020,6311,Balangan,B,Pertambangan dan Penggalian,6143.65,0.669398,0.07651,8.7491
2020,6311,Balangan,C,Industri Pengolahan,140.77,0.015338,0.213898,0.0717
2020,6311,Balangan,D,Pengadaan Listrik dan Gas,2.55,0.000278,0.010533,0.0264
2020,6311,Balangan,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",21.27,0.002318,0.000915,2.5339
2020,6311,Balangan,F,Konstruksi,339.68,0.037011,0.103791,0.3566
2020,6311,Balangan,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,407.92,0.044446,0.134117,0.3314
2020,6311,Balangan,H,Transportasi dan Pergudangan,145.31,0.015833,0.038079,0.4158
2020,6311,Balangan,I,Penyediaan Akomodasi dan Makan Minum,27.28,0.002972,0.028952,0.1027
2020,6311,Balangan,J,Informasi dan Komunikasi,122.32,0.013328,0.063113,0.2112
2020,6311,Balangan,K,Jasa Keuangan dan Asuransi,26.94,0.002935,0.04428,0.0663
2020,6311,Balangan,L,Real Estat,83.42,0.009089,0.031385,0.2896
2020,6311,Balangan,MN,Jasa Perusahaan,5.28,0.000575,0.018939,0.0304
2020,6311,Balangan,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",340.48,0.037098,0.035372,1.0488
2020,6311,Balangan,P,Jasa Pendidikan,265.57,0.028936,0.033903,0.8535
2020,6311,Balangan,Q,Jasa Kesehatan dan Kegiatan Sosial,72.28,0.007875,0.013766,0.5721
2020,6311,Balangan,RSTU,Jasa Lainnya,41.26,0.004496,0.01903,0.2362
2021,6311,Balangan,A,"Pertanian, Kehutanan, dan Perikanan",1027.02,0.10836,0.131609,0.8234
2021,6311,Balangan,B,Pertambangan dan Penggalian,6379.57,0.673103,0.077052,8.7357
2021,6311,Balangan,C,Industri Pengolahan,146.76,0.015485,0.214146,0.0723
