provinsi,sektor_kode,sektor,nilai,bulan
Jawa Timur,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,152153258218808,2026-03
Jawa Timur,H,Transportasi dan Pergudangan,13013239886258,2026-03
Jawa Timur,I,Penyediaan Akomodasi dan Makan Minum,12437771682166,2026-03
Jawa Timur,J,Informasi dan Komunikasi,948343099422,2026-03
Jawa Timur,K,Jasa Keuangan dan Asuransi,2958028722464,2026-03
Jawa Timur,L,Real Estat,7324225636993,2026-03
Jawa Timur,MN,Jasa Perusahaan,6084512103829,2026-03
Jawa Timur,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",492607598695,2026-03
Jawa Timur,P,Jasa Pendidikan,2572974979104,2026-03
Jawa Timur,Q,Jasa Kesehatan dan Kegiatan Sosial,3565196181611,2026-03
Jawa Timur,RSTU,Jasa Lainnya,13891479014336,2026-03
Jawa Timur,RT,Rumah Tangga (konsumsi),193164649730094,2026-03
Kalimantan Barat,A,"Pertanian, Kehutanan, dan Perikanan",20748302318214,2026-03
Kalimantan Barat,B,Pertambangan dan Penggalian,110545712186,2026-03
Kalimantan Barat,C,Industri Pengolahan,1802513768781,2026-03
Kalimantan Barat,D,Pengadaan Listrik dan Gas,122098952558,2026-03
Kalimantan Barat,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",15664966605,2026-03
Kalimantan Barat,F,Konstruksi,620194771034,2026-03
Kalimantan Barat,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,12261424216543,2026-03
Kalimantan Barat,H,Transportasi dan Pergudangan,3859416751578,2026-03
Kalimantan Barat,I,Penyediaan Akomodasi dan Makan Minum,1584362095557,2026-03
Kalimantan Barat,J,Informasi dan Komunikasi,39161833234,2026-03
Kalimantan Barat,K,Jasa Keuangan dan Asuransi,703992387035,2026-03
Kalimantan Barat,L,Real Estat,426287955142,2026-03
Kalimantan Barat,MN,Jasa Perusahaan,1128771118715,2026-03
Kalimantan Barat,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",72552436815,2026-03
Kalimantan Barat,P,Jasa Pendidikan,88686945807,2026-03
Kalimantan Barat,Q,Jasa Kesehatan dan Kegiatan Sosial,131709532118,2026-03
Kalimantan Barat,RSTU,Jasa Lainnya,1013144645503,2026-03
Kalimantan Barat,RT,Rumah Tangga (konsumsi),35100215303664,2026-03
Kalimantan Selatan,A,"Pertanian, Kehutanan, dan Perikanan",10605479670817,2026-03
Kalimantan Selatan,B,Pertambangan dan Penggalian,10839445526310,2026-03
Kalimantan Selatan,C,Industri Pengolahan,2527073922435,2026-03
Kalimantan Selatan,D,Pengadaan Listrik dan Gas,333703261987,2026-03
Kalimantan Selatan,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",39692035957,2026-03
Kalimantan Selatan,F,Konstruksi,897173936899,2026-03
Kalimantan Selatan,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,12486238035197,2026-03
Kalimantan Selatan,H,Transportasi dan Pergudangan,7118598063826,2026-03
Kalimantan Selatan,I,Penyediaan Akomodasi dan Makan Minum,967513777454,2026-03
Kalimantan Selatan,J,Informasi dan Komunikasi,13964351163,2026-03
Kalimantan Selatan,K,Jasa Keuangan dan Asuransi,475860971595,2026-03
Kalimantan Selatan,L,Real Estat,799400396626,2026-03
Kalimantan Selatan,MN,Jasa Perusahaan,1278321640797,2026-03
Kalimantan Selatan,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",56606976,2026-03
Kalimantan Selatan,P,Jasa Pendidikan,87172220772,2026-03
Kalimantan Selatan,Q,Jasa Kesehatan dan Kegiatan Sosial,165124492714,2026-03
